534,128,671,285
535,122,673,280
537,118,676,279
538,120,676,281
541,119,679,280
544,120,682,281
547,117,685,279
551,118,687,280
553,118,689,282
556,117,692,281
560,120,695,283
563,119,697,283
565,121,699,285
568,120,702,285
570,121,704,286
572,121,705,286
573,122,706,287
576,122,708,286
577,124,708,289
578,124,709,289
579,125,709,290
580,125,709,291
581,126,709,292
581,126,709,292
580,125,708,292
580,126,707,293
578,128,706,295
576,128,703,295
574,130,701,295
573,131,698,296
571,131,696,296
570,131,694,298
566,130,690,297
565,130,689,297
562,129,686,297
561,130,685,299
558,129,682,299
557,129,680,298
555,129,679,298
554,130,678,300
554,128,677,300
553,129,677,300
553,127,676,301
553,127,676,301
553,126,675,301
554,125,676,301
555,124,677,300
558,123,678,301
558,122,678,302
560,122,679,303
561,121,679,304
563,121,681,304
563,121,681,305
564,121,682,306
567,121,684,307
566,124,683,312
568,123,684,312
568,123,684,313
569,123,685,314
569,124,685,316
570,124,685,317
571,124,685,319
572,123,686,318
571,124,686,320
571,123,686,319
571,125,686,322
572,126,687,323
573,124,687,324
574,123,687,324
575,123,688,327
575,123,688,328
576,124,689,331
576,122,689,332
577,122,690,333
577,124,691,336
577,126,691,340
579,126,692,342
579,125,693,343
578,124,692,343
579,126,694,347
579,126,694,348
580,127,695,351
580,126,695,352
578,126,695,354
579,128,696,357
578,127,696,358
577,128,695,361
576,130,695,365
575,131,695,368
575,133,695,372
574,132,694,373
574,135,694,377
572,134,694,378
571,136,693,381
569,135,693,383
567,136,692,385
567,138,693,388
564,141,691,392
562,139,691,391
561,139,692,392
562,140,694,394
561,138,694,395
561,139,695,397
558,133,694,390
558,140,697,396
553,127,693,384
561,133,702,391
556,124,697,383
558,127,701,382
560,137,705,391
556,124,701,381
562,133,709,392
560,128,710,385
565,135,716,394
557,122,709,383
564,130,720,395
557,118,713,385
565,126,725,395
570,139,732,412
572,140,736,417
573,139,740,420
564,129,735,414
569,135,745,425
570,134,750,430
570,135,754,435
558,127,748,432
563,137,758,445
566,139,764,449
555,130,758,443
549,150,757,463
555,140,765,453
549,158,763,471
549,147,767,461
541,165,767,478
541,154,770,469
546,146,778,460
534,101,773,410
527,113,767,422
527,98,770,405
520,109,766,415
517,98,765,402
511,112,761,416
508,101,760,403
501,110,756,413
493,99,751,399
490,109,750,410
485,115,747,416
482,143,746,444
474,115,738,416
468,102,734,403
464,107,732,408
462,112,730,413
455,98,725,399
452,106,724,407
451,110,723,411
445,95,719,396
441,110,716,411
430,120,707,421
441,144,718,446
451,155,728,457
429,143,706,445
446,140,723,443
434,137,712,441
449,128,726,432
465,124,740,431
475,121,749,429
456,117,729,426
468,99,739,409
457,84,727,396
469,111,738,423
452,90,723,405
460,82,732,397
462,92,734,409
463,82,736,400
459,91,735,409
455,82,737,401
454,88,740,409
453,90,743,411
457,86,749,409
460,87,754,411
462,87,758,411
465,87,763,411
469,85,769,408
470,86,769,408
474,86,771,408
478,85,774,406
481,85,777,407
482,87,777,407
485,86,781,408
482,69,778,390
486,70,783,393
487,72,783,396
494,73,789,397
493,69,789,393
497,68,792,391
497,64,791,388
494,46,790,370
496,49,790,373
498,37,792,359
498,44,791,366
496,50,788,371
498,50,789,372
499,41,790,362
499,61,787,381
482,58,769,378
486,56,771,377
487,59,771,380
483,57,766,379
480,59,761,380
479,68,758,388
461,58,738,378
460,60,737,380
444,72,719,393
452,67,726,387
434,59,708,379
465,70,736,390
436,65,707,384
428,63,698,382
436,78,705,397
420,67,689,386
432,64,700,383
417,63,685,381
427,61,694,380
434,58,699,378
416,64,680,383
428,57,691,377
430,61,692,381
418,67,679,387
412,72,672,393
423,67,683,389
412,72,671,394
422,69,680,391
426,61,683,384
414,70,671,393
421,78,678,401
409,72,665,394
425,69,681,391
417,76,673,397
409,77,665,398
428,71,683,392
409,87,664,406
398,78,654,397
412,87,667,405
400,82,655,399
389,82,644,398
403,93,659,409
386,81,642,397
398,96,654,411
378,83,634,397
397,77,654,391
375,95,633,407
388,79,645,390
369,72,628,381
377,85,636,393
348,105,608,412
357,84,618,390
369,70,630,376
382,54,643,360
419,78,676,385
423,43,678,352
424,39,677,348
428,38,680,347
409,18,659,329
399,15,649,325
408,19,658,329
416,17,665,327
419,16,668,326
421,6,668,317
403,13,649,323
410,15,656,325
393,5,638,314
409,11,653,320
411,14,655,323
412,28,656,337
412,30,654,339
412,31,654,340
414,35,655,344
414,34,655,343
416,39,655,348
414,25,653,335
413,33,651,342
416,40,653,350
413,25,649,334
415,33,651,343
387,43,622,352
394,31,628,341
397,21,631,330
401,35,633,344
403,21,635,331
407,16,638,326
415,10,646,319
401,-1,630,305
394,-10,624,295
413,11,642,317
405,-3,633,302
401,-9,629,295
397,-10,626,293
392,3,620,305
401,19,626,322
411,32,636,334
412,20,636,322
403,-14,625,286
403,-17,625,282
399,-16,620,281
398,-16,618,279
397,-15,617,278
398,-8,617,286
393,-11,610,280
401,20,617,312
403,16,619,309
405,14,620,307
407,11,622,304
399,-4,613,287
407,5,620,297
411,-2,623,288
412,-8,621,283
405,-8,613,280
412,6,619,295
414,-1,620,287
414,-3,618,284
405,-5,608,280
401,-8,604,276
413,-8,614,275
404,-6,605,275
401,-11,600,269
411,5,608,286
412,0,606,279
413,-3,605,274
410,-4,599,270
407,-5,595,268
414,7,601,282
411,4,596,276
414,4,597,275
416,5,597,276
407,16,587,285
404,10,583,277
411,0,588,264
407,12,583,276
405,11,580,272
402,9,577,270
401,9,576,267
409,14,583,271
404,14,577,270
410,16,582,271
403,16,576,270
398,15,570,269
392,29,564,282
388,29,560,282
383,33,555,285
381,25,554,275
376,29,550,278
365,36,541,283
384,22,561,268
375,25,553,269
360,29,538,272
377,18,555,261
363,22,542,264
382,12,561,253
372,19,552,260
394,11,574,250
416,8,595,247
416,3,594,240
418,2,595,238
419,16,596,252
416,13,592,249
425,1,601,236
423,-3,599,230
424,-3,600,230
425,-6,601,226
422,-4,598,226
420,-3,596,226
421,-2,596,226
425,0,600,227
417,2,592,228
420,0,595,226
423,2,598,227
419,4,594,228
422,3,597,226
419,5,594,227
421,3,596,224
417,12,591,233
419,8,593,228
420,10,593,229
419,11,593,229
414,20,586,238
414,13,587,231
417,12,588,229
412,26,582,243
414,24,584,240
412,20,582,235
413,22,582,236
412,23,579,238
413,23,579,238
410,23,575,238
411,24,576,238
408,25,572,240
407,27,570,242
409,29,573,244
405,30,568,245
408,30,571,245
406,30,569,245
403,33,567,248
398,36,562,251
405,35,570,249
396,38,562,253
402,39,569,253
402,40,570,254
405,43,574,257
406,51,575,266
402,50,572,263
403,49,573,262
404,52,575,265
405,53,576,265
405,51,576,262
404,53,576,264
406,51,578,262
406,50,578,261
406,50,579,261
407,50,581,261
407,49,581,260
408,47,582,258
410,46,584,256
411,47,585,258
412,45,586,255
413,45,587,254
415,44,589,253
416,44,589,252
417,42,591,250
417,41,591,250
419,38,593,247
420,37,594,246
422,35,596,244
425,35,599,244
425,34,599,243
427,32,602,243
426,31,601,242
425,25,601,237
426,23,601,234
426,22,602,234
423,21,600,231
425,18,602,227
425,18,602,226
417,43,597,254
423,15,603,226
412,44,594,257
416,16,598,229
417,13,598,226
418,12,598,223
417,12,597,222
418,11,596,219
418,9,595,216
419,8,595,213
420,8,595,212
421,8,595,211
424,10,597,213
425,9,596,210
429,14,600,214
430,9,600,210
432,9,600,210
433,11,600,211
434,18,601,218
436,12,602,213
438,17,604,218
438,16,603,218
441,20,606,223
440,15,605,218
443,22,608,226
443,18,605,225
442,25,605,233
439,28,603,236
438,31,603,239
437,34,603,241
436,30,601,238
436,41,601,249
435,42,601,250
434,39,600,248
438,44,604,254
435,38,601,250
433,47,600,258
433,41,600,253
432,49,600,261
432,52,601,265
430,47,599,260
427,54,598,267
429,49,599,262
426,55,598,268
428,47,600,260
425,53,597,267
425,48,597,263
424,43,596,259
427,44,597,261
425,41,594,261
426,41,593,262
427,44,594,265
430,41,594,267
426,49,593,274
428,40,594,267
430,39,594,270
431,41,592,275
430,46,592,284
427,48,589,291
425,50,588,299
417,50,584,304
409,57,583,311
404,60,583,315
400,59,584,317
395,67,583,324
399,59,586,320
400,58,584,324
396,66,582,329
395,60,581,325
395,64,578,332
395,65,577,337
396,66,577,341
397,65,576,342
397,67,576,344
395,73,574,350
395,78,573,356
394,80,572,359
393,82,571,363
